epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,677.298,0.61117,1.41684,2.11885,1.0331,0.79108,0.71721,0.78161,0.6553,0.78438,0.71162,0.77141,0.64339,0.60749,1.17341,1.318,1.08617,0.00331933,0.00331933,0.00331933
2,868.052,0.60161,1.16841,1.21337,1.01244,0.75671,0.60853,0.71203,0.56987,0.73804,0.59618,0.674,0.52565,0.75359,2.0836,1.36561,1.27741,0.00663071,0.00663071,0.00663071
3,1056.99,0.69632,1.3294,1.14977,1.0694,0.49516,0.39788,0.37443,0.25764,0.47599,0.35994,0.33142,0.22051,1.09129,2.77131,2.18023,1.55635,0.00992009,0.00992009,0.00992009
4,1242.51,0.74198,1.39646,1.06148,1.0994,0.64454,0.66512,0.65895,0.51452,0.62992,0.65095,0.63302,0.48741,0.84603,1.79436,1.6378,1.3431,0.009901,0.009901,0.009901
5,1422.1,0.69816,1.33889,0.92761,1.08042,0.75352,0.61164,0.71292,0.58425,0.74718,0.61381,0.70521,0.58262,0.70498,1.37812,1.26856,1.17056,0.009868,0.009868,0.009868
6,1596.7,0.66228,1.27633,0.84386,1.05792,0.80769,0.77591,0.83049,0.7002,0.80881,0.76696,0.82009,0.67955,0.61024,1.3066,0.83329,1.07318,0.009835,0.009835,0.009835
7,1752.63,0.63791,1.23488,0.79409,1.04651,0.78397,0.6857,0.75302,0.64176,0.76825,0.68594,0.74143,0.61151,0.63779,1.39715,1.14744,1.1172,0.009802,0.009802,0.009802
8,1909.23,0.62422,1.19916,0.7531,1.03504,0.83051,0.80358,0.86147,0.74278,0.82552,0.79847,0.84914,0.72759,0.55995,1.15755,0.78503,1.02614,0.009769,0.009769,0.009769
9,2065.94,0.61146,1.18338,0.72456,1.03103,0.82395,0.77758,0.84043,0.72925,0.85206,0.75031,0.83199,0.7084,0.57574,1.19363,0.7683,1.04889,0.009736,0.009736,0.009736
10,2223.18,0.60319,1.17004,0.70314,1.02716,0.86502,0.80861,0.88313,0.78298,0.8631,0.80761,0.87547,0.76613,0.50971,1.0583,0.62676,0.99142,0.009703,0.009703,0.009703
11,2378.87,0.59175,1.13856,0.68442,1.01542,0.86308,0.80601,0.88382,0.77842,0.86155,0.80491,0.8758,0.76741,0.52092,1.04376,0.65279,1.00865,0.00967,0.00967,0.00967
12,2535.74,0.58061,1.12709,0.66286,1.01375,0.85899,0.83046,0.89323,0.7853,0.84948,0.81419,0.87829,0.76227,0.52361,1.10591,0.64106,1.02139,0.009637,0.009637,0.009637
13,2692.12,0.57999,1.12398,0.65636,1.01246,0.89678,0.82531,0.90115,0.80651,0.89865,0.8178,0.89178,0.78447,0.48986,1.04969,0.56617,0.97778,0.009604,0.009604,0.009604
14,2848.83,0.56437,1.08613,0.6343,1.00073,0.86114,0.8506,0.90513,0.81183,0.85591,0.8442,0.89284,0.79091,0.47858,1.01468,0.5585,0.96997,0.009571,0.009571,0.009571
15,3005.28,0.56141,1.0715,0.61741,1.00118,0.85291,0.88326,0.91695,0.825,0.89176,0.83776,0.90455,0.804,0.48569,0.98323,0.52611,0.9886,0.009538,0.009538,0.009538
16,3160.48,0.55728,1.05544,0.60943,0.99769,0.85767,0.84891,0.90647,0.8198,0.85287,0.84507,0.89958,0.79864,0.46569,1.01497,0.53784,0.9603,0.009505,0.009505,0.009505
17,3316.17,0.55382,1.0491,0.59739,0.99216,0.88059,0.86311,0.91011,0.81732,0.87922,0.84494,0.90082,0.79191,0.47423,0.99362,0.53876,0.97065,0.009472,0.009472,0.009472
18,3471.16,0.54871,1.04569,0.5956,0.98974,0.85267,0.85772,0.90145,0.8132,0.85227,0.84668,0.89224,0.78298,0.46172,0.97199,0.55435,0.95938,0.009439,0.009439,0.009439
19,3625.85,0.54964,1.04003,0.58301,0.99016,0.89427,0.88226,0.9193,0.82917,0.88971,0.87659,0.90599,0.80958,0.45793,0.93959,0.48755,0.95434,0.009406,0.009406,0.009406
20,3780.78,0.53906,1.03294,0.57454,0.98575,0.89962,0.868,0.91992,0.83474,0.89881,0.86649,0.91391,0.81553,0.45016,0.9426,0.499,0.94625,0.009373,0.009373,0.009373
21,3936.48,0.53548,1.01168,0.57271,0.98325,0.89478,0.87289,0.92342,0.84207,0.89027,0.86399,0.91376,0.81709,0.44332,0.94469,0.48903,0.9409,0.00934,0.00934,0.00934
22,4091.67,0.53645,0.99227,0.56219,0.98263,0.89739,0.88874,0.92959,0.855,0.89666,0.87793,0.91951,0.83578,0.42969,0.88838,0.45231,0.93354,0.009307,0.009307,0.009307
23,4247.12,0.53303,0.99423,0.55604,0.97966,0.93326,0.86353,0.92886,0.84686,0.9289,0.85781,0.91946,0.8241,0.43647,0.89058,0.46678,0.9414,0.009274,0.009274,0.009274
24,4403.27,0.52643,0.98029,0.54495,0.97666,0.90241,0.87146,0.92534,0.85303,0.89803,0.86588,0.91569,0.8294,0.41901,0.87512,0.45485,0.92352,0.009241,0.009241,0.009241
25,4559.78,0.52539,0.96645,0.54729,0.97632,0.91146,0.86769,0.93111,0.84922,0.90605,0.86224,0.91969,0.82561,0.43206,0.91037,0.45517,0.93441,0.009208,0.009208,0.009208
26,4717.06,0.52314,0.97982,0.53678,0.97535,0.91068,0.89338,0.93338,0.85841,0.90862,0.89363,0.92609,0.83619,0.40921,0.84541,0.43568,0.91093,0.009175,0.009175,0.009175
27,4873.75,0.5191,0.97594,0.54106,0.97196,0.88757,0.88926,0.93374,0.86021,0.9011,0.87685,0.92644,0.83703,0.41536,0.89312,0.44214,0.92271,0.009142,0.009142,0.009142
28,5029.53,0.5197,0.95368,0.53454,0.97179,0.91321,0.88313,0.93728,0.86648,0.9094,0.87973,0.92595,0.84081,0.4028,0.89095,0.42931,0.91493,0.009109,0.009109,0.009109
29,5185.49,0.51684,0.94703,0.52695,0.97055,0.91931,0.88123,0.93732,0.87124,0.90363,0.88779,0.93044,0.84432,0.40611,0.86846,0.41793,0.9243,0.009076,0.009076,0.009076
30,5341.11,0.5151,0.95215,0.52582,0.97024,0.90162,0.891,0.94002,0.87502,0.91165,0.87963,0.92898,0.8472,0.39016,0.89311,0.40915,0.9098,0.009043,0.009043,0.009043
31,5497.43,0.51062,0.94723,0.51695,0.96789,0.91774,0.89999,0.94069,0.87563,0.91898,0.88476,0.93174,0.85239,0.39837,0.85607,0.40211,0.91311,0.00901,0.00901,0.00901
32,5653.7,0.50781,0.94089,0.51177,0.96351,0.9122,0.894,0.94199,0.87538,0.907,0.88909,0.93327,0.8531,0.39489,0.82021,0.41081,0.90959,0.008977,0.008977,0.008977
33,5809.67,0.50809,0.92773,0.50949,0.96651,0.8972,0.90872,0.93735,0.87321,0.8968,0.90058,0.92988,0.85,0.39094,0.82486,0.40467,0.90347,0.008944,0.008944,0.008944
34,5965.12,0.5031,0.9165,0.50784,0.96073,0.90115,0.90036,0.93619,0.87191,0.90013,0.89108,0.92694,0.84404,0.38914,0.88773,0.40758,0.90515,0.008911,0.008911,0.008911
35,6120.83,0.50221,0.92596,0.50457,0.96222,0.91378,0.9006,0.93979,0.87638,0.92292,0.88533,0.93126,0.85023,0.38228,0.84498,0.39025,0.90202,0.008878,0.008878,0.008878
